year,country_name,country_code,GPCP,RainfallGrowth,LaggedRainfallGrowth,war_prio,InternalConflict,pop,lpopl1,Mountains,lmtnest,Oil,EthnicFrac,ReligiousFrac,Democracy,GDPGrowth,LaggedGDPGrowth,InitialGDP,polity2l_6,LaggedInternalConflict
1983,Benin,BEN,829.3028564453125,-0.1101788803935051,0.038273196667432785,0,0,3794,8.210124015808105,0,0,0,0.6181775331497192,0.4649999737739563,-7,-0.00982317328453064,-0.1350892335176468,1.055999994277954,0,0
1984,Benin,BEN,935.52581787109375,0.12808705866336823,-0.1101788803935051,0,0,3916,8.24117660522461,0,0,0,0.6181775331497192,0.4649999737739563,-7,0.02480156347155571,-0.00982317328453064,1.055999994277954,0,0
1985,Benin,BEN,950.77520751953125,0.016300341114401817,0.12808705866336823,0,0,4043,8.272826194763184,0,0,0,0.6181775331497192,0.4649999737739563,-7,0.07260411232709885,0.02480156347155571,1.055999994277954,0,0
1986,Benin,BEN,952.6739501953125,0.001997046871110797,0.016300341114401817,0,0,4175,8.304741859436035,0,0,0,0.6181775331497192,0.4649999737739563,-7,-0.04061378538608551,0.07260411232709885,1.055999994277954,0,0
1987,Benin,BEN,851.7088623046875,-0.10598073899745941,0.001997046871110797,0,0,4311,8.336869239807129,0,0,0,0.6181775331497192,0.4649999737739563,-7,-0.06396985799074173,-0.04061378538608551,1.055999994277954,0,0
1988,Benin,BEN,1000.6039428710938,0.174819216132164,-0.10598073899745941,0,0,4451,8.368925094604492,0,0,0,0.6181775331497192,0.4649999737739563,-7,0,-0.06396985799074173,1.055999994277954,0,0
1989,Benin,BEN,1113.5523681640625,0.11288025230169296,0.174819216132164,0,0,4594,8.400883674621582,0,0,0,0.6181775331497192,0.4649999737739563,-7,-0.07437185943126678,0,1.055999994277954,0,0
1990,Benin,BEN,877.70452880859375,-0.21179771423339844,0.11288025230169296,0,0,4740,8.432506561279297,0,0,0,0.6181775331497192,0.4649999737739563,-7,-0.0010857624001801014,-0.07437185943126678,1.055999994277954,0,0
1991,Benin,BEN,1227.321044921875,0.39833053946495056,-0.21179771423339844,0,0,4886,8.46379280090332,0,0,0,0.6181775331497192,0.4649999737739563,0,0.02826082892715931,-0.0010857624001801014,1.055999994277954,0,0
1992,Benin,BEN,1054.7835693359375,-0.14058054983615875,0.39833053946495056,0,0,5050,8.494129180908203,0,0,0,0.6181775331497192,0.4649999737739563,6,0.00995580293238163,0.02826082892715931,1.055999994277954,1,0
1993,Benin,BEN,1022.2471313476562,-0.030846552923321724,-0.14058054983615875,0,0,5176.759765625,8.527143478393555,0,0,0,0.6181775331497192,0.4649999737739563,6,0.006086352281272411,0.00995580293238163,1.055999994277954,1,0
1994,Benin,BEN,1210.2281494140625,0.18388999998569489,-0.030846552923321724,0,0,5325,8.551934242248535,0,0,0,0.6181775331497192,0.4649999737739563,6,0.014470779336988926,0.006086352281272411,1.055999994277954,1,0
1995,Benin,BEN,1019.583984375,-0.15752746164798737,0.18388999998569489,0,0,5475,8.580167770385742,0,0,0,0.6181775331497192,0.4649999737739563,6,0.017286263406276703,0.014470779336988926,1.055999994277954,1,0
1996,Benin,BEN,1025.0130615234375,0.005324796307832003,-0.15752746164798737,0,0,5631.919921875,8.60794734954834,0,0,0,0.6181775331497192,0.4649999737739563,6,0.026479965075850487,0.017286263406276703,1.055999994277954,1,0
1997,Benin,BEN,994.346923828125,-0.029917802661657333,0.005324796307832003,0,0,5796.08984375,8.636205673217773,0,0,0,0.6181775331497192,0.4649999737739563,6,0.02861304022371769,0.026479965075850487,1.055999994277954,1,0
